Puerto
Arauco
Axion Energy (Campana)
Bahía Blanca
Bunge (Ramallo)
Campana - Muelle Provincial
Carboclor
Central Térmica - San Nicolás
Delta Dock
Dock Sud
Euroamerica
La Plata
Mar del Plata
Mar del Plata - Muelle YPF
Molca
Odfjell
Papel Prensa
Quequén
Regasificador Escobar
Rhasa
Rosales
San Nicolás - Muelle Provincial
San Pedro
Siderar
Siderca
Terminal Zárate
Vitco
Xstorage
ACA (Vilelas)
Barranqueras - Muelle Provincial
Barranqueras - Muelle YPF
Shell (Vilelas)
Caleta Cordova
Comodoro Rivadavia
Comodoro Rivadavia - Muelle YPF
Madryn
Buenos Aires
Cargill Diamante - Muelle Elevador
Concepción del Uruguay
Concepción del Uruguay - Muelle YPF
Coop. Agr. La Paz
Del Guazú
Piedras Blancas
Punta Colorada
San Antonio Este
Caleta Olivia
Caleta Paula
Deseado
Punta Loyola
Punta Quilla
ACA (San Lorenzo)
Acindar (Villa Constitución)
ADM AGRO - Muelle El Tránsito
ADM AGRO (Arroyo Seco)
Akzo Nobel
Bunge (Dempa y Pampa)
Cargill - Muelle Quebracho
Cargill (Punta Alvear)
Cargill (Villa Gobernador Gálvez)
Cofco International Argentina S.A. (PGSM)
Cofco International Argentina S.A. (Timbúes)
Dreyfus (Gral Lagos)
Dreyfus (Timbúes)
Minera Alumbrera
Molinos San Benito
Pampa Energía
Pan American Energy (San Lorenzo)
Profertil
Renova
Rosario - Muelle ENAPRO
San Lorenzo - San Martín - Muelle YPF
Santa Fe
Shell (Arroyo Seco)
Terminal 6
Termoeléctrica San Martín
Vicentín
Villa Constitución - Muelle EAPVC
Cruz del Sur
Río Cullen
Ushuaia
Ushuaia - Muelle YPF
Barranqueras - Muelle Elevador
"Coop. ""La Ganadera"" Gral. Ramírez"
La Paz - Márquez
Paraná Iron
Maná Puerto Buey
Oil Combustibles
Terminal de Fertilizantes Argentinos
Diamante - Muelle EAPD
Central Térmica Sorrento - Generación Rosario
Petromining
Comodoro Rivadavia   
Concepción del Uruguay 
Maná Puerto Buey 
Cargill (Villa Gobernador Gálvez) 
Unidades VI-VII
